0 (0-0): 0.000000 len=1 cov=0.000000 parents: trf=
1 (147928397-147928578): 2548.000000 len=182 cov=14.000000 parents: 0 trf=
2 (147936627-147936686): 1415.500000 len=60 cov=23.591667 parents: 1 trf=
3 (147938714-147938817): 3082.250000 len=104 cov=29.637020 parents: 2 trf=
4 (147943438-147943544): 3201.000000 len=107 cov=29.915888 parents: 3 trf=
5 (147943977-147943996): 195.000000 len=20 cov=9.750000 parents: 4 trf=
6 (147943997-147944098): 2767.000000 len=102 cov=27.127451 parents: 5 4 trf=
7 (147953345-147953465): 3570.500000 len=121 cov=29.508265 parents: 6 trf=
8 (147954322-147954402): 3013.500000 len=81 cov=37.203705 parents: 7 trf=
9 (147966554-147966663): 3889.500000 len=110 cov=35.359093 parents: 8 trf=
10 (147967617-147968874): 2245.000000 len=1258 cov=1.784579 parents: 0 trf=
11 (147968875-147968963): 2423.000000 len=89 cov=27.224720 parents: 10 9 trf=
12 (147968964-147969359): 300.000000 len=396 cov=0.757576 parents: 11 trf=
13 (147969867-147969959): 2611.500000 len=93 cov=28.080645 parents: 11 trf=
14 (147986199-147986294): 2807.833252 len=96 cov=29.248262 parents: 13 trf=
15 (147988432-147988521): 2554.000000 len=90 cov=28.377777 parents: 14 trf=
16 (147992502-147992568): 1093.500000 len=67 cov=16.320896 parents: 15 trf=
17 (147992711-147992716): 3.000000 len=6 cov=0.500000 parents: 0 trf=
18 (0-0): 0.000000 len=1 cov=0.000000 parents: 12 16 17 trf=
